ら戳,ΜL基,Θユ鸭,ら戳,ΜL基,Θユ鸭,ら戳,ΜL基,Θユ鸭
3る17ら,36.4,"31,846,968",3る3ら,37.75,"14,693,838",2る15ら,37.55,"19,116,424"
3る16ら,36.35,"20,235,848",3る2ら,37.9,"18,212,319",2る14ら,37.25,"23,984,629"
3る15ら,37.1,"15,657,070",3る1ら,37.8,"50,523,994",2る13ら,37,"14,617,556"
3る14ら,36.75,"17,569,854",2る24ら,39.15,"68,799,746",2る10ら,36.85,"15,578,283"
3る13ら,36.75,"22,518,921",2る23ら,39.5,"47,953,951",2る9ら,36.6,"11,379,279"
3る10ら,36.7,"25,192,335",2る22ら,38.05,"19,617,132",2る8ら,36.75,"12,201,334"
3る9ら,37.2,"23,896,022",2る21ら,38.35,"9,443,068",2る7ら,36.65,"12,818,745"
3る8ら,37.75,"21,791,272",2る20ら,38.25,"16,664,374",2る6ら,36.15,"18,914,974"
3る7ら,37.95,"12,798,027",2る17ら,38,"18,234,212",2る3ら,36.45,"16,800,332"
3る6ら,37.95,"12,088,991",2る16ら,37.5,"16,457,265",2る2ら,36.8,"14,814,809"
